Measure Mode: wall_time
Thread ID: 70212817918080
Fiber ID: 70212812661460
Total: 0.091663
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.000     0.000     0.000     0.000        9   ActiveRecord::Relation#initialize 
  0.04      0.002     0.000     0.000     0.002        5   Proc#yield 
  0.04      0.010     0.000     0.000     0.010        8   ActiveRecord::ConnectionAdapters::AbstractAdapter#log 
  0.04      0.000     0.000     0.000     0.000       13   ActiveRecord::ConnectionAdapters::ConnectionHandler#class_to_pool 
  0.04      0.000     0.000     0.000     0.000       14   Set#add 
  0.04      0.000     0.000     0.000     0.000       33   Array#pop 
  0.04      0.000     0.000     0.000     0.000        4   <Class::ActiveRecord::Base>#defined_enums= 
  0.04      0.000     0.000     0.000     0.000        6   Array#uniq 
  0.04      0.000     0.000     0.000     0.000       18   Time#initialize 
  0.04      0.003     0.000     0.000     0.003        3   ActiveRecord::AttributeMethods::PrimaryKey::ClassMethods#get_primary_key 
  0.04      0.021     0.000     0.000     0.021       11  *ActiveSupport::Dependencies::ModuleConstMissing#const_missing 
  0.04      0.000     0.000     0.000     0.000       30   Array#initialize_copy 
  0.04      0.000     0.000     0.000     0.000        8   Time#minus_with_coercion 
  0.04      0.005     0.000     0.000     0.005        9   ActiveRecord::Reflection::ThroughReflection#source_reflection 
  0.04      0.000     0.000     0.000     0.000       31   Array#reverse 
  0.04      0.000     0.000     0.000     0.000        9   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection 
  0.04      0.000     0.000     0.000     0.000       13   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool 
  0.04      0.000     0.000     0.000     0.000        8   ActiveRecord::Associations::Builder::Association#valid_options 
  0.03      0.000     0.000     0.000     0.000        2   IO#write 
  0.03      0.000     0.000     0.000     0.000       16   Kernel#extend 
  0.03      0.002     0.000     0.000     0.002        8   ActiveRecord::Result#hash_rows 
  0.03      0.000     0.000     0.000     0.000       18   <Class::Time>#now 
  0.03      0.000     0.000     0.000     0.000        8   Time#minus_with_duration 
  0.03      0.000     0.000     0.000     0.000       25   ActiveSupport::Callbacks::CallbackChain#chain 
  0.03      0.001     0.000     0.000     0.001        8   <Module::ActiveRecord::Reflection>#create 
  0.03      0.000     0.000     0.000     0.000        9   ActiveRecord::ConnectionHandling#retrieve_connection 
  0.03      0.001     0.000     0.000     0.001       12   ActiveSupport::Inflector#pluralize 
  0.03      0.001     0.000     0.000     0.001       16   ActiveSupport::Notifications::Fanout::Subscribers::Evented#finish 
  0.03      0.000     0.000     0.000     0.000       12   ActiveSupport::Dependencies#log 
  0.03      0.000     0.000     0.000     0.000       28   Module#< 
  0.03      0.000     0.000     0.000     0.000       15   ActiveRecord::Reflection::ThroughReflection#through_reflection 
  0.03      0.000     0.000     0.000     0.000       17   String#tr! 
  0.03      0.000     0.000     0.000     0.000        9   ActiveRecord::ConnectionHandling#connection 
